year,region,category,segment,product,sales,profit
2009,North,Electronics,B2B,Laptop,10000,2000
2010,South,Furniture,Retail,Chair,10500,2100
2011,North,Electronics,B2B,Laptop,11000,2200
2012,South,Furniture,Retail,Chair,11500,2300
2013,North,Electronics,B2B,Laptop,12000,2400
2014,South,Furniture,Retail,Chair,12500,2500
2015,North,Electronics,B2B,Laptop,13000,2600
2016,South,Furniture,Retail,Chair,13500,2700
2017,North,Electronics,B2B,Laptop,14000,2800
2018,South,Furniture,Retail,Chair,14500,2900
2019,North,Electronics,B2B,Laptop,15000,3000
2020,South,Furniture,Retail,Chair,15500,3100
2021,North,Electronics,B2B,Laptop,16000,3200
2022,South,Furniture,Retail,Chair,16500,3300
2023,North,Electronics,B2B,Laptop,17000,3400
2009,South,Furniture,Retail,Chair,17500,3500
2010,North,Electronics,B2B,Laptop,18000,3600
2011,South,Furniture,Retail,Chair,18500,3700
2012,North,Electronics,B2B,Laptop,19000,3800
2013,South,Furniture,Retail,Chair,19500,3900
2014,North,Electronics,B2B,Laptop,20000,4000
2015,South,Furniture,Retail,Chair,20500,4100
2016,North,Electronics,B2B,Laptop,21000,4200
2017,South,Furniture,Retail,Chair,21500,4300
2018,North,Electronics,B2B,Laptop,22000,4400
2019,South,Furniture,Retail,Chair,22500,4500
2020,North,Electronics,B2B,Laptop,23000,4600
2021,South,Furniture,Retail,Chair,23500,4700
2022,North,Electronics,B2B,Laptop,24000,4800
2023,South,Furniture,Retail,Chair,24500,4900
